last_update,location_type,state,county_name,county_name_long,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000,2016_per_capita_personal_income_in_dollars,2017_per_capita_personal_income_in_dollars,2018_per_capita_personal_income_in_dollars,2018_rank_in_state_per_capita_income,2017_per_capita_income_percent_change,2018_per_capita_income_percent_change,rank_in_state_2018_per_capita_income_percent_change,2016_per_capita_personal_income_in_dollars_state_avg,2017_per_capita_personal_income_in_dollars_state_avg,2018_per_capita_personal_income_in_dollars_state_avg,2017_per_capita_income_percent_change_state_avg,2018_per_capita_income_percent_change_state_avg,percent_of_population_over_65,percent_of_population_over_65_state_avg,2014_to_2018_owner-occupied_housing_unit_rate,2014_to_2018_owner-occupied_housing_unit_rate_state_avg,2018_percent_female,2018_percent_female_state_avg
2020-09-07 20:28:40 UTC,county,Alabama,Coosa,"Coosa, Alabama, US",1037,32.93690146,-86.24847739,Micropolitan,10855,110,1013.36,3,27.64,"29,174","29,926","31,328",64,2.6,4.7,17,"39,224","40,467","42,238",3.2,4.4,23.2,16.9,82,68.6,49.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Covington,"Covington, Alabama, US",1039,31.2477854,-86.45050893,Non-core,37351,817,2187.36,25,66.93,"33,014","34,393","35,651",38,4.2,3.7,54,"39,224","40,467","42,238",3.2,4.4,21.1,16.9,74,68.6,51.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Crenshaw,"Crenshaw, Alabama, US",1041,31.72941803,-86.31593104,Non-core,13865,401,2892.17,31,223.58,"34,405","35,823","36,645",28,4.1,2.3,63,"39,224","40,467","42,238",3.2,4.4,19,16.9,73.8,68.6,51.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Cullman,"Cullman, Alabama, US",1043,34.13020303,-86.86888037,Micropolitan,82313,1480,1798.01,15,18.22,"36,649","38,158","39,607",16,4.1,3.8,51,"39,224","40,467","42,238",3.2,4.4,18.5,16.9,74.6,68.6,50.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Dale,"Dale, Alabama, US",1045,31.43037123,-85.61095742,Micropolitan,49255,1030,2091.16,42,85.27,"34,492","35,200","36,613",29,2.1,4,45,"39,224","40,467","42,238",3.2,4.4,16.9,16.9,60.2,68.6,50.9,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Dallas,"Dallas, Alabama, US",1047,32.32688101,-87.1086671,Micropolitan,40029,1449,3619.88,25,62.45,"33,454","34,282","36,026",37,2.5,5.1,7,"39,224","40,467","42,238",3.2,4.4,18.1,16.9,59.8,68.6,53.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,DeKalb,"DeKalb, Alabama, US",1049,34.45946862,-85.80782906,Non-core,71200,2111,2964.89,16,22.47,"29,446","30,682","31,916",62,4.2,4,44,"39,224","40,467","42,238",3.2,4.4,17.3,16.9,71.2,68.6,50.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Elmore,"Elmore, Alabama, US",1051,32.59785413,-86.14415284,Medium metro,81212,2124,2615.38,44,54.18,"39,587","40,966","42,269",9,3.5,3.2,59,"39,224","40,467","42,238",3.2,4.4,15.1,16.9,73.7,68.6,51.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Escambia,"Escambia, Alabama, US",1053,31.1256789,-87.15918694,Non-core,37328,1257,3367.45,22,58.94,"30,404","31,641","32,996",55,4.1,4.3,33,"39,224","40,467","42,238",3.2,4.4,17.9,16.9,68.8,68.6,49.3,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Etowah,"Etowah, Alabama, US",1055,34.04567266,-86.04051873,Small metro,102939,2774,2694.8,42,40.8,"34,792","35,542","36,918",27,2.2,3.9,50,"39,224","40,467","42,238",3.2,4.4,19,16.9,71.9,68.6,51.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Fayette,"Fayette, Alabama, US",1057,33.72076938,-87.73886638,Non-core,16585,316,1905.34,6,36.18,"32,533","33,492","34,966",44,2.9,4.4,27,"39,224","40,467","42,238",3.2,4.4,21.1,16.9,77.9,68.6,51.2,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Franklin,"Franklin, Alabama, US",1059,34.44235334,-87.84289505,Non-core,31542,1600,5072.6,27,85.6,"30,940","32,422","34,318",47,4.8,5.8,4,"39,224","40,467","42,238",3.2,4.4,16.9,16.9,70.6,68.6,49.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Geneva,"Geneva, Alabama, US",1061,31.09389027,-85.83572839,Small metro,26491,398,1502.4,3,11.32,"32,619","33,736","35,192",42,3.4,4.3,30,"39,224","40,467","42,238",3.2,4.4,20.3,16.9,70.8,68.6,51.2,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Greene,"Greene, Alabama, US",1063,32.85504247,-87.95684022,Non-core,8426,282,3346.78,14,166.15,"30,737","31,388","32,359",60,2.1,3.1,60,"39,224","40,467","42,238",3.2,4.4,22.3,16.9,68.7,68.6,52.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Hale,"Hale, Alabama, US",1065,32.76039258,-87.63284988,Small metro,14887,542,3640.76,27,181.37,"34,900","35,559","36,585",30,1.9,2.9,62,"39,224","40,467","42,238",3.2,4.4,19.2,16.9,71.5,68.6,52.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Henry,"Henry, Alabama, US",1067,31.51148016,-85.24267944,Small metro,17124,345,2014.72,3,17.52,"37,657","38,790","40,360",12,3,4,42,"39,224","40,467","42,238",3.2,4.4,22.7,16.9,82.8,68.6,51.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Houston,"Houston, Alabama, US",1069,31.15197924,-85.29939599,Small metro,104352,1923,1842.8,15,14.37,"39,459","40,642","42,398",8,3,4.3,29,"39,224","40,467","42,238",3.2,4.4,17.8,16.9,65.6,68.6,52,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Jackson,"Jackson, Alabama, US",1071,34.78144169,-85.99750489,Micropolitan,52094,1321,2535.8,7,13.44,"34,198","35,099","36,567",31,2.6,4.2,37,"39,224","40,467","42,238",3.2,4.4,20,16.9,74.1,68.6,50.9,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Jefferson,"Jefferson, Alabama, US",1073,33.55554728,-86.895063,Large central metro,659892,16703,2531.17,305,46.22,"49,573","52,128","54,730",1,5.2,5,8,"39,224","40,467","42,238",3.2,4.4,15.9,16.9,62.8,68.6,52.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Lamar,"Lamar, Alabama, US",1075,33.77995024,-88.09668032,Non-core,13933,282,2023.97,2,14.35,"31,863","32,230","33,496",51,1.2,3.9,47,"39,224","40,467","42,238",3.2,4.4,21.7,16.9,76.4,68.6,51.1,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Lauderdale,"Lauderdale, Alabama, US",1077,34.90171875,-87.65624729,Small metro,92585,1479,1597.45,25,27,"35,202","35,573","37,151",25,1.1,4.4,25,"39,224","40,467","42,238",3.2,4.4,20.1,16.9,68.5,68.6,52,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Lawrence,"Lawrence, Alabama, US",1079,34.52041498,-87.31069453,Small metro,33171,505,1522.41,5,15.07,"31,129","32,596","34,125",48,4.7,4.7,16,"39,224","40,467","42,238",3.2,4.4,18.7,16.9,79.1,68.6,51.3,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Lee,"Lee, Alabama, US",1081,32.60154883,-85.35132246,Small metro,159287,3511,2204.2,49,30.76,"35,690","36,437","38,036",23,2.1,4.4,28,"39,224","40,467","42,238",3.2,4.4,11.9,16.9,60.3,68.6,50.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Limestone,"Limestone, Alabama, US",1083,34.81185586,-86.98310072,Medium metro,93052,1706,1833.38,18,19.34,"39,102","40,845","42,546",7,4.5,4.2,38,"39,224","40,467","42,238",3.2,4.4,15.2,16.9,78,68.6,49.9,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Lowndes,"Lowndes, Alabama, US",1085,32.1597283,-86.65158371,Medium metro,10236,604,5900.74,25,244.24,"37,050","39,011","38,991",18,5.3,-0.1,67,"39,224","40,467","42,238",3.2,4.4,18.8,16.9,73.7,68.6,53.2,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Macon,"Macon, Alabama, US",1087,32.38759944,-85.69267724,Non-core,19054,412,2162.28,17,89.22,"30,568","31,372","32,919",56,2.6,4.9,11,"39,224","40,467","42,238",3.2,4.4,20.4,16.9,65.7,68.6,54.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Madison,"Madison, Alabama, US",1089,34.76327133,-86.55069633,Medium metro,357560,6592,1843.61,57,15.94,"48,026","49,158","51,445",3,2.4,4.7,18,"39,224","40,467","42,238",3.2,4.4,15,16.9,67.2,68.6,51.1,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Marengo,"Marengo, Alabama, US",1091,32.24767634,-87.78796182,Non-core,19538,645,3301.26,18,92.13,"36,650","37,447","39,801",15,2.2,6.3,3,"39,224","40,467","42,238",3.2,4.4,19.6,16.9,71.2,68.6,53.1,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Marion,"Marion, Alabama, US",1093,34.13697363,-87.88704173,Non-core,29965,749,2499.58,27,90.11,"30,458","31,807","33,264",53,4.4,4.6,19,"39,224","40,467","42,238",3.2,4.4,21.2,16.9,75.4,68.6,50.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Marshall,"Marshall, Alabama, US",1095,34.36975964,-86.30486727,Micropolitan,95145,3510,3689.11,41,43.09,"33,700","34,579","36,044",36,2.6,4.2,35,"39,224","40,467","42,238",3.2,4.4,17,16.9,70.4,68.6,50.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Mobile,"Mobile, Alabama, US",1097,30.78472347,-88.20842409,Medium metro,414659,12289,2963.64,265,63.91,"36,025","36,777","38,243",22,2.1,4,46,"39,224","40,467","42,238",3.2,4.4,16.2,16.9,64.9,68.6,52.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Monroe,"Monroe, Alabama, US",1099,31.56729412,-87.36995001,Non-core,21512,437,2031.42,6,27.89,"31,259","31,720","33,456",52,1.5,5.5,5,"39,224","40,467","42,238",3.2,4.4,20.3,16.9,60.9,68.6,52.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Montgomery,"Montgomery, Alabama, US",1101,32.2206831,-86.20969272,Medium metro,226941,7956,3505.76,163,71.82,"41,388","42,211","43,688",5,2,3.5,57,"39,224","40,467","42,238",3.2,4.4,15.1,16.9,58.6,68.6,52.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Morgan,"Morgan, Alabama, US",1103,34.45500589,-86.85475946,Small metro,119122,2891,2426.92,22,18.47,"37,173","38,289","39,991",14,3,4.4,23,"39,224","40,467","42,238",3.2,4.4,17.5,16.9,72.1,68.6,50.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Perry,"Perry, Alabama, US",1105,32.64048341,-87.29770589,Non-core,9486,483,5091.71,5,52.71,"29,030","30,173","30,535",65,3.9,1.2,65,"39,224","40,467","42,238",3.2,4.4,19.4,16.9,72.8,68.6,53.2,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Pickens,"Pickens, Alabama, US",1107,33.28094866,-88.08818103,Small metro,20298,544,2680.07,11,54.19,"30,412","31,233","32,551",58,2.7,4.2,36,"39,224","40,467","42,238",3.2,4.4,19,16.9,74,68.6,50.1,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Pike,"Pike, Alabama, US",1109,31.80396383,-85.9408295,Micropolitan,33403,851,2547.68,7,20.96,"34,842","36,140","37,359",24,3.7,3.4,58,"39,224","40,467","42,238",3.2,4.4,15,16.9,59.3,68.6,51.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Randolph,"Randolph, Alabama, US",1111,33.29526734,-85.45708831,Non-core,22574,494,2188.36,11,48.73,"30,268","31,242","32,411",59,3.2,3.7,52,"39,224","40,467","42,238",3.2,4.4,20.4,16.9,73.4,68.6,51.3,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Russell,"Russell, Alabama, US",1113,32.28725256,-85.18415324,Medium metro,58213,1565,2688.4,2,3.44,"30,700","32,384","33,104",54,5.5,2.2,64,"39,224","40,467","42,238",3.2,4.4,14.3,16.9,59.8,68.6,52,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Shelby,"Shelby, Alabama, US",1117,33.26879845,-86.66232561,Large fringe metro,211261,4345,2056.7,40,18.93,"50,650","51,852","54,369",2,2.4,4.9,13,"39,224","40,467","42,238",3.2,4.4,15.3,16.9,79.7,68.6,51.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,St. Clair,"St. Clair, Alabama, US",1115,33.71902176,-86.31029372,Large fringe metro,87306,1720,1970.08,31,35.51,"35,766","36,993","38,569",20,3.4,4.3,34,"39,224","40,467","42,238",3.2,4.4,16.6,16.9,78.9,68.6,50.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Sumter,"Sumter, Alabama, US",1119,32.59117397,-88.19916205,Non-core,12985,403,3103.58,19,146.32,"30,848","31,452","31,664",63,2,0.7,66,"39,224","40,467","42,238",3.2,4.4,18,16.9,64.9,68.6,54.3,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Talladega,"Talladega, Alabama, US",1121,33.37823223,-86.16886178,Micropolitan,80565,1312,1628.5,21,26.07,"32,487","33,282","34,718",46,2.4,4.3,31,"39,224","40,467","42,238",3.2,4.4,18,16.9,71.3,68.6,51.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Tallapoosa,"Tallapoosa, Alabama, US",1123,32.86698258,-85.79833053,Non-core,40636,942,2318.14,82,201.79,"38,205","38,829","40,696",11,1.6,4.8,14,"39,224","40,467","42,238",3.2,4.4,21.6,16.9,72.8,68.6,51.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Tuscaloosa,"Tuscaloosa, Alabama, US",1125,33.28726072,-87.52556818,Small metro,206213,5352,2595.37,94,45.58,"36,143","37,157","38,822",19,2.8,4.5,21,"39,224","40,467","42,238",3.2,4.4,13.3,16.9,63.2,68.6,51.9,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Walker,"Walker, Alabama, US",1127,33.80270512,-87.30027177,Large fringe metro,64493,1958,3035.99,74,114.74,"37,030","38,482","40,197",13,3.9,4.5,22,"39,224","40,467","42,238",3.2,4.4,19.3,16.9,76.1,68.6,51.3,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Washington,"Washington, Alabama, US",1129,31.4092794,-88.20689944,Non-core,16643,500,3004.27,13,78.11,"34,371","34,882","36,323",34,1.5,4.1,41,"39,224","40,467","42,238",3.2,4.4,19.1,16.9,83.8,68.6,50.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Wilcox,"Wilcox, Alabama, US",1131,31.98773215,-87.30891118,Non-core,10809,474,4385.23,11,101.77,"30,247","30,929","32,215",61,2.3,4.2,39,"39,224","40,467","42,238",3.2,4.4,19.4,16.9,65,68.6,52.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Winston,"Winston, Alabama, US",1133,34.15030532,-87.37325922,Non-core,23875,584,2446.07,11,46.07,"31,995","33,679","35,430",40,5.3,5.2,6,"39,224","40,467","42,238",3.2,4.4,21.6,16.9,79,68.6,50.7,51.6
2020-09-07 20:28:40 UTC,county,Alaska,Aleutians East,"Aleutians East, Alaska, US",2013,55.32222414,-161.9722021,Non-core,3425,2,58.39,0,0,"57,255","58,210","56,676",18,1.7,-2.6,29,"56,016","56,794","59,420",1.4,4.6,9.2,11.8,61.9,64,32.5,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Aleutians West,"Aleutians West, Alaska, US",2016,52.3233,-174.1596,Non-core,5750,6,104.35,0,0,"55,302","52,695","54,385",20,-4.7,3.2,25,"56,016","56,794","59,420",1.4,4.6,6.9,11.8,28.1,64,34.5,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Anchorage,"Anchorage, Alaska, US",2020,61.14998174,-149.1426986,Medium metro,296112,3297,1113.43,25,8.44,"62,172","63,173","66,510",10,1.6,5.3,12,"56,016","56,794","59,420",1.4,4.6,10,11.8,60.9,64,49,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Bethel,"Bethel, Alaska, US",2050,60.90980451,-159.8561831,Non-core,18040,71,393.57,1,5.54,"41,168","42,134","43,500",28,2.3,3.2,24,"56,016","56,794","59,420",1.4,4.6,7.7,11.8,61.1,64,48.5,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Bristol Bay,"Bristol Bay, Alaska, US",2060,58.74513976,-156.701064,Non-core,890,10,1123.6,0,0,"119,915","125,895","143,575",1,5,14,1,"56,016","56,794","59,420",1.4,4.6,14.5,11.8,52.9,64,46.6,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Denali,"Denali, Alaska, US",2068,63.67264044,-150.0076108,Non-core,2232,2,89.61,0,0,"76,113","78,685","82,919",3,3.4,5.4,11,"56,016","56,794","59,420",1.4,4.6,11.9,11.8,78.1,64,44.3,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Dillingham,"Dillingham, Alaska, US",2070,59.79603738,-158.2381942,Non-core,4975,5,100.5,0,0,"55,471","58,042","59,621",15,4.6,2.7,26,"56,016","56,794","59,420",1.4,4.6,9.4,11.8,60.3,64,49.6,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Fairbanks North Star,"Fairbanks North Star, Alaska, US",2090,64.80726247,-146.5692662,Small metro,99653,755,757.63,9,9.03,"52,803","53,974","56,606",19,2.2,4.9,14,"56,016","56,794","59,420",1.4,4.6,10.3,11.8,58.5,64,46.1,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Haines,"Haines, Alaska, US",2100,59.09893571,-135.4679843,Non-core,2518,4,158.86,0,0,"57,423","62,478","67,059",9,8.8,7.3,3,"56,016","56,794","59,420",1.4,4.6,22.1,11.8,67.4,64,50.6,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Juneau,"Juneau, Alaska, US",2110,58.45031811,-134.200436,Micropolitan,32330,194,600.06,1,3.09,"63,779","65,784","68,145",7,3.1,3.6,23,"56,016","56,794","59,420",1.4,4.6,12,11.8,64,64,48.9,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Kenai Peninsula,"Kenai Peninsula, Alaska, US",2122,60.24429722,-151.5388884,Non-core,58220,422,724.84,2,3.44,"49,544","49,697","52,015",21,0.3,4.7,15,"56,016","56,794","59,420",1.4,4.6,17.4,11.8,73.3,64,47.9,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Ketchikan Gateway,"Ketchikan Gateway, Alaska, US",2130,55.57445008,-130.975561,Micropolitan,13804,47,340.48,0,0,"64,229","65,179","67,602",8,1.5,3.7,22,"56,016","56,794","59,420",1.4,4.6,15.5,11.8,60.8,64,49,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Kodiak Island,"Kodiak Island, Alaska, US",2150,57.65529415,-153.7493579,Non-core,13649,18,131.88,0,0,"57,840","61,157","63,938",12,5.7,4.5,16,"56,016","56,794","59,420",1.4,4.6,10.3,11.8,55,64,46.8,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Kusilvak,"Kusilvak, Alaska, US",2158,62.1542916,-163.3967883,Non-core,8198,8,97.58,0,0,"29,979","29,838","30,099",29,-0.5,0.9,27,"56,016","56,794","59,420",1.4,4.6,,11.8,,64,,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Matanuska-Susitna,"Matanuska-Susitna, Alaska, US",2170,62.31305045,-149.5741743,Medium metro,103464,511,493.89,2,1.93,"44,520","44,043","45,897",26,-1.1,4.2,18,"56,016","56,794","59,420",1.4,4.6,,11.8,,64,,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Nome,"Nome, Alaska, US",2180,64.90320724,-164.0353804,Non-core,9925,46,463.48,0,0,"48,001","49,518","51,378",22,3.2,3.8,21,"56,016","56,794","59,420",1.4,4.6,7.7,11.8,60.3,64,47.4,47.9
2020-09-07 20:28:40 UTC,county,Alaska,North Slope,"North Slope, Alaska, US",2185,69.31479216,-153.4836093,Non-core,9797,52,530.77,0,0,"89,281","84,340","83,489",2,-5.5,-1,28,"56,016","56,794","59,420",1.4,4.6,6.8,11.8,50.3,64,37.8,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Northwest Arctic,"Northwest Arctic, Alaska, US",2188,67.04919196,-159.7503946,Non-core,7734,70,905.09,0,0,"43,886","44,861","47,854",24,2.2,6.7,5,"56,016","56,794","59,420",1.4,4.6,7.3,11.8,55.6,64,46,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Petersburg,"Petersburg, Alaska, US",2195,57.13978948,-132.9540995,Non-core,3255,7,215.05,1,30.72,"64,029","66,703","69,995",6,4.2,4.9,13,"56,016","56,794","59,420",1.4,4.6,,11.8,,64,,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Prince of Wales-Hyder,"Prince of Wales-Hyder, Alaska, US",2198,55.76261984,-133.0511621,Non-core,6474,28,432.5,0,0,"39,834","41,456","43,707",27,4.1,5.4,10,"56,016","56,794","59,420",1.4,4.6,,11.8,,64,,47.9
2020-09-07 20:28:40 UTC,county,Alaska,Sitka,"Sitka, Alaska, US",2220,57.24124555,-135.3206587,Non-core,8738,38,434.88,0,0,"63,572","67,771","71,972",5,6.6,6.2,6,"56,016","56,794","59,420",1.4,4.6,14.5,11.8,57.9,64,48.8,47.9
